user,tweets,labels,follows
_samcorfield,b'RT @TemplarKTI: VIDEO: England has fallen https://t.co/DlqMkMuB3J',4,damy
_samcorfield,b'RT @TuffsLiam: Removing #TommyRobinson from Twitter for highlighting the savage side of a sinister ideology is like banishing a warning sig\xe2\x80\xa6',0,damy
_samcorfield,"b""RT @EL4JC: Next time a Tory tells you they're spending more on the NHS than ever before - show them this. https://t.co/CGq4yZQS36""",0,damy
_samcorfield,b'RT @FeistyRealist: I support this man in all he says &amp; stands against. He\xe2\x80\x99s a concerned father with the gonads to challenge the state of Br\xe2\x80\xa6',0,damy
_samcorfield,b'RT @longlongroad3: #iamtommy https://t.co/cMmpkjYBri',4,damy
abitx2u,b'RT @whonickedmename: @tinkerpuss People need to Get proactive Flood every one of these businesses with complaints so at least more &amp; more p\xe2\x80\xa6',0,sally
abitx2u,b'RT @LemanVct: They want to keep all Jihadist Terrorists inside.\n\nActually Erdogan conducts an asymmetrical war against the Europe (with 70\xe2\x80\xa6',0,sally
abitx2u,b'RT @nigella_i5e: This would be a good thing.. https://t.co/HH1awlzYXg',0,sally
abitx2u,"b""@HalewoodMike @TookEnglandBack Won't offend them as much as when they turn up in numbers with deportation orders""",4,sally
abitx2u,"b""RT @HalewoodMike: DOESN'T IT MAKE YOU SICK https://t.co/jfyoRbGyYr""",0,sally
abitx2u,b'RT @UKfollowgain: The twitter police have obviously stopped #iamtommy trending',4,sally
abitx2u,b'RT @ActivePatriots: A jihadi whose gang intended to use children for terror attacks had two council flats-one for him &amp; one for his wife. H\xe2\x80\xa6',0,sally
abitx2u,"b""RT @whitford747: Regarding #TommyRobinson's ban on Twitter, he may have gone a little over the top occasionally but here's #Churchill's quo\xe2\x80\xa6""",0,sally
abitx2u,b'RT @PrisonPlanet: The thought police have finally caught up with Tommy Robinson. His account is gone. F to pay respects. #iamtommy',1,sally
abitx2u,b'RT @brexitblog_info: This ban is madness. I very much hope it is challenged in the Courts.  Is Amber Rudd going to expel the surviving cast\xe2\x80\xa6',4,sally
abitx2u,b'RT @V_of_Europe: UK schools on lockdown over threats received to \xe2\x80\x98mow down\xe2\x80\x99 children  https://t.co/O8vfH2jzlh',3,TjJon
abitx2u,b'RT @Michael_Heaver: Remain campaign told you no prospect of Turkey joining EU. \n\nReality: EU giving Turkey \xe2\x82\xac9.1 billion specifically for th\xe2\x80\xa6',2,TjJon
abitx2u,b'RT @Jacob_Rees_Mogg: The battle of the tortoises https://t.co/y2A2Ccg5kH',1,TjJon
abitx2u,b'RT @WestmonsterUK: FRANCE: Holocaust survivor stabbed to death &amp; burned in suspected anti-Semitic murder. https://t.co/X2x7IqFXcZ',0,TjJon
abitx2u,b'RT @RNLI: Rear Admiral Wilfrid Graham (known as Wid) \xe2\x80\x93 Director &amp; Secretary of the RNLI 1979 - 1987 \xe2\x80\x93 sadly passed away at the age of 92. W\xe2\x80\xa6',0,TjJon
abitx2u,b'RT @Imamofpeace: And the Canadian PM brings a convicted Jihadi and gives him $10M in front of Canadian Citizens protesting outside his offi\xe2\x80\xa6',0,TjJon
abitx2u,b'RT @AMike4761: JUST IN: China Shocks the World With Announcement About N. Korea Denuclearization.   Will Trump get the NOBEL PEACE PRIZE?\xe2\x80\xa6',0,TjJon
abitx2u,b'RT @Geezajay2013: 13 years for ploughing into a gang of kids and killing 3 of them. \n13 poxy years for 3 young lives. \nHe will actually onl\xe2\x80\xa6',4,TjJon
abitx2u,b'RT @V_of_Europe: Germany: Headmaster Tells Mother of Daughter Bullied by Muslims to Cover Her Up With a Hijab https://t.co/mhXV8dHYO9',4,TjJon
abitx2u,b'RT @ActivePatriots: Vote rigging in Muslim communities has gone unchallenged because politically correct police and other bodies are scared\xe2\x80\xa6',4,umoh
abitx2u,b'RT @Holbornlolz: If only companies who offered holiday insurance for \xc2\xa310 existed https://t.co/jBOxsYZXXa',4,umoh
abitx2u,b'RT @saperkins: Evidence the rule of law in the UK is applied differently to the Muslim community. @ForBritainParty wants ONE rule for all.\xe2\x80\xa6',3,umoh
abitx2u,b'RT @GrantJKidney: MIchael Moore wants to lower the voting age to 16. \n\nThis plays right into the communist strategy of using impressionable\xe2\x80\xa6',1,umoh
abitx2u,"b""RT @JorgenFaxholm: - and let's pay for their housing, benefits - not forgetting their cousins, parents, sisters and extra wives.\nAnd perhap\xe2\x80\xa6""",0,umoh
abitx2u,"b""RT @Orwellian_EU: The Left don't care about a lot of people, like white, English girls, in places like Telford and Rotherham for example. T\xe2\x80\xa6""",4,umoh
abitx2u,"b'RT @RTUKnews: ""Does @theresa_may agree that victims should never have had to get involved? And that this landmark decision means system doe\xe2\x80\xa6'",4,umoh
abitx2u,"b""RT @MarkBraithwait7: BREAKING: POLL FRAUD 'IGNORED' Vote rigging in Muslim communities goes unchallenged because PC police are scared of ca\xe2\x80\xa6""",0,umoh
abitx2u,b'RT @altrightinnit: Please get #iamtommy trending his account has been deleted from twitter with no explanation',4,umoh
abitx2u,"b'RT @Englishlnfidel: Tommy Robinson has been permanently suspended from twitter. Very sad, he is one of the last bastions of free speech and\xe2\x80\xa6'",0,umoh
abitx2u,"b'RT @Imamofpeace: Since 2013, brother Tommy Robinson had every chance to mock and [verbally] attack me. But he didn\xe2\x80\x99t. We exchanged thoughts\xe2\x80\xa6'",0,umoh
adandygal,b'RT @Avatar_Queen_: @jaymr212 @Chris44046254 @Smileygirl19681 @Julesywooooolsy @will_uncensored @waggiesthere @DjinnThe @GrumpyBack @Bluesue\xe2\x80\xa6',0,maryJ
adandygal,b'@RedHotSquirrel Imprison the UK boss for contempt of parliament',0,maryJ
adandygal,"b""RT @RedHotSquirrel: Facebook boss Mark Zuckerberg's snub labelled 'absolutely astonishing' by MPs. https://t.co/a0Ol80yaJ1""",1,maryJ
adandygal,b'RT @ForBritainParty: Pictures: Mass Protest Calls For End to Anti-Semitism in UK Labour Party https://t.co/x5cC6KAyf5 via @BreitbartNews',4,maryJ
adandygal,"b""RT @Econs4FreeTrade: Australia confirms HUGE trade deal will be SIGNED 'the day Brexit ends' https://t.co/8YX2vzXXcD""",4,maryJ
adandygal,b'RT @DancerGuard: This is so true.\nWhat we have now is the opposite of belief in our country from the detestable pen-pushers who\xe2\x80\x99ve run it.\xe2\x80\xa6',4,maryJ
adandygal,b'RT @FXdestination: @LeaveMnsLeave @Jacob_Rees_Mogg The thing is that almost no Tory MPs have the slightest idea what is going on in the ver\xe2\x80\xa6',3,maryJ
adandygal,b'RT @ForBritainParty: Juncker SNUBS questions over appointment of righthand man as EU Commission chaos continues https://t.co/iR3KGPrwbE',3,maryJ
adandygal,"b'RT @OnThisDayPIRA: #OnThisDay in 1990 the IRA murdered George Starrett, 58. Off duty RUCR shot in kitchen of his Armagh home. Recovering fr\xe2\x80\xa6'",3,maryJ
adandygal,"b'RT @Para_glider69: You turn London streets into a killing zone of knife crime, acid attacks, Gun crime and Jihadi murder then dare make up\xe2\x80\xa6'",3,ustadh
adandygal,"b'RT @GnasherJew: \xe2\x80\x9cLabour ignored formal complaint over antisemitic mural, emails suggest\xe2\x80\x9d @UKLabour have also denied that sitting labour cou\xe2\x80\xa6'",3,ustadh
adandygal,"b'RT @ActivePatriots: A gang who pocketed more than \xc2\xa3500k by arranging marriages between immigrants from Pakistan,India &amp; Bangladesh with Eas\xe2\x80\xa6'",3,ustadh
adandygal,b'RT @DVATW: But but - they are so vulnerable and kind... https://t.co/LtHtIN6fKi',3,ustadh
adandygal,"b'RT @Para_glider69: I\xe2\x80\x99m afraid the UK is rapidly applying just as Crazy judgements as Sweden, Germany, Canada and Australia and many other W\xe2\x80\xa6'",3,ustadh
adandygal,b'RT @LauraLoomer: BREAKING: Newly released screenshots of a Facebook conversation between #StormyDaniels and a friend shows she denied ever\xe2\x80\xa6',2,ustadh
adandygal,"b'RT @yadvashem: #OnThisDay 27/3/44 https://t.co/C43InUEpHS \nThe Germans entered the Kovno Ghetto and took about 2,000 of the children and el\xe2\x80\xa6'",2,ustadh
adandygal,b'RT @stgeorgeiscross: https://t.co/R7y9x1v8j0',1,ustadh
adandygal,"b'RT @Prof_Strontius: @angelneptustar @GMB This is a recent phenomenon. \nIt is only a few years since presenters and programme makers, instea\xe2\x80\xa6'",1,ustadh
adandygal,b'RT @1GigiSims: Wisdom from our first President George Washington------\n\nWe must always ensure that we have (sufficient) ample firepower to\xe2\x80\xa6',1,ustadh
adandygal,b'RT @michelangelosas: https://t.co/ljMX2ylk0V',0,ustadh
adandygal,b'RT @charliekirk11: Facts:\n\nPrivately owned swimming pools are nearly 5 times more likely to cause accidental deaths than having a gun in th\xe2\x80\xa6',0,papy
adandygal,"b'RT @Frankhaviland: Our nation is besieged by enemies within: from whinging anti-democratic remainers &amp; traitor politicians, to a fifth colu\xe2\x80\xa6'",0,papy
adandygal,b'RT @markpolitics4uk: So true these words https://t.co/vVpuHDw18n',0,papy
adandygal,b'RT @Ak__Ashii: Sweden\xf0\x9f\x87\xb8\xf0\x9f\x87\xaa was once the country of vikings and blondes.\n\nToday Sweden is going through a systematic population replacement pha\xe2\x80\xa6',0,papy
adandygal,b'RT @blaircottrell89: Muslims: \xe2\x80\x9cTerrorism is payback for your government invading our countries\xe2\x80\x9d\n\nWesterners: \xe2\x80\x9cThe Government doesn\xe2\x80\x99t listen\xe2\x80\xa6',0,papy
adandygal,"b'RT @Afringrad_000_1: @LemanVct Turkey Knows the game better than entire EU, Erdogan knows that he can tricks #EU with smile&amp;soft talk at th\xe2\x80\xa6'",0,papy
adandygal,b'RT @COLRICHARDKEMP: Oddly we don\xe2\x80\x99t tend to have much sympathy for Iraqi jihadist vermin that want to blow up &amp; murder our children. You def\xe2\x80\xa6',0,papy
adandygal,b'RT @truemagic68: FORMER PM Tony Blair demands 2nd referendum - NO! - Please go away and count your money with Alastair Campbell. Get over i\xe2\x80\xa6',4,papy
adandygal,b'RT @CllrBSilvester: John Woodcock is almost inviting de-selection by #Mobmentum\nOr will he cross the floor to the Tories?\nBarrow is a very\xe2\x80\xa6',4,papy
adandygal,b'@ServanMusa @LemanVct @vwvwv1212 Kurdish killer Erdogan',4,papy
adandygal,b'RT @ServanMusa: @LemanVct @vwvwv1212 #Erdogan is a #terrorist &amp; Turkey is the new #ISIS. Remove Turkey from #NATO.',3,papy
